Prefix,Suffix,Index Band,Date,Year,Julian,Site,Shelf,Time,ID,Age,PAge,Sex,DNA SEX,DNASEX,Final Sex,Bleed,Feath,Mass 1,LWC,Rect,LP5,LP6,R Time,Temp,Time 2,Date 2,Site 2,Mass 2,Date 3,Site 3,Mass 3,Date 4,Site 4,Mass 4,LP1,LP2,LP3,LP4,LP5,LP6,LP7,LP8,LP9,LP10,RP1,RP2,RP3,RP4,RP5,RP6,RP7,RP8,RP9,RP10,Notes
1783,74392,1783-74392,9/4/2016,2016,248,3A,2,21:15,F,Y,Y,U,0,M,M,N,N,52.5,126,64,95,104,21:25,15.5,0:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Banded as HY on 8/22/16 on barren
1783,74393,1783-74393,8/23/2016,2016,236,1A,3,23:01,U,Y,Y,U,0,M,M,R,Y,54.1,128,64,95,102,23:39,,0:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1783,74394,1783-74394,8/24/2016,2016,237,2B,1,22:15,U,Y,Y,U,0,M,M,R,Y,53.2,125,58,91,99,22:37,4.5,0:22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1783,74395,1783-74395,8/26/2016,2016,239,1B,H,21:18,U,Y,Y,U,F,#N/A,F,L,Y,55.9,131,64,101,108,21:44,,0:26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1783,74396,1783-74396,8/26/2016,2016,239,1B,1,21:35,U,Y,Y,U,0,M,M,L,Y,60.4,132,61,100,107,,,,9/11/2016,1A,56.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
1783,74396,1783-74396,9/11/2016,2016,255,1A,1,20:15,F,Y,Y,U,0,M,M,N,N,56.3,132,61,100,107,20:25,11,0:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Banded 8/26/16 as HY. Lost 4.1g.
1783,74400,1783-74400,8/26/2016,2016,239,1A,,21:34,U,Y,Y,U,F,#N/A,F,L,Y,57.4,126,65,96,104,22:12,,0:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1783,74401,1783-74401,9/1/2016,2016,245,3A,1,0:30,U,Y,Y,U,0,M,M,Y,Y,56.6,131,63,98,107,1:00,,0:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1783,74402,1783-74402,9/2/2016,2016,246,1A,3,21:30,U,Y,Y,U,F,#N/A,F,L,Y,53.6,128,63,100,109,22:00,,0:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1783,74403,1783-74403,9/2/2016,2016,246,1B,4,0:15,U,A,A,U,0,M,M,Y,Y,59.9,128,57,99,107,0:45,7.5,0:30,9/18/2016,3A,62.9,,,,,,,0.5,0.5,3,3,3,3,3,M,M,M,0.5,0.5,3,3,3,3,3,M,M,M,
1783,74403,1783-74403,9/18/2016,2016,262,3A,1,21:00,F,A,A,U,0,M,M,N,N,62.9,128,57,99,107,21:12,10,0:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First banded 9/2/16
1833,3103,1833-03103,9/3/2014,2014,246,1B,3,20:59,U,Y,Y,U,0,M,M,Y,Y,58.5,123,61,95,102,21:35,,0:36,9/6/2014,1,59,9/10/2014,1,59.5,9/3/2015,1,66.5,,,,,,,,,,,,,,,,,,,,,
1833,3103,1833-03103,9/6/2014,2014,249,1B,2,22:32,F,Y,Y,U,0,M,M,N,N,59,123,61,95,102,22:45,,0:13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1833,3103,1833-03103,9/10/2014,2014,253,1B,2,0:39,F,Y,Y,U,0,M,M,N,N,59.5,123,61,95,102,0:43,,0:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Banded 9/3/14 recaptured 9/6/14
1833,3103,1833-03103,9/3/2015,2015,246,1B,4,21:15,PF,2,2,M,0,M,M,N,Y,66.5,125,62,95,104,21:59,7,0:44,,,,,,,,,,3,3,3,3,3,3,3,M,M,M,3,3,3,3,3,3,3,M,M,M,
1833,3104,1833-03104,9/3/2014,2014,246,1A,3,21:01,U,A,A,U,0,M,M,Y,Y,60.5,133,57,97,105,21:53,,0:52,9/6/2014,1,61,,,,,,,3,3,3,3,3,2.5,2.5,2,M,M,3,3,3,3,3,2.5,2.5,2,M,M,
1833,3104,1833-03104,9/6/2014,2014,249,1B,3,20:58,F,A,A,U,0,M,M,N,N,61,133,57,97,105,21:09,,0:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1833,3105,1833-03105,9/3/2014,2014,246,1A,1,22:05,U,U,Y,U,0,F,F,Y,Y,55,127,59,95,104,22:40,,0:35,,,,,,,,,,3,3,3,3,3,2.5,2.5,2,2,1.5,3,3,3,3,3,2.5,2.5,2,1.5,1,
1833,3106,1833-03106,9/3/2014,2014,246,1A,4,1:03,U,U,Y,U,0,F,F,Y,Y,58,124,65,99,107,1:34,,0:31,,,,,,,,,,3,3,3,3,2.5,2.5,2.5,2,2,1.5,3,3,3,3,2.5,2.5,2.5,2,2,1.5,
1833,3107,1833-03107,9/3/2014,2014,246,1A,2,1:39,U,A,A,U,0,M,M,Y,Y,69,134,60,99,106,2:12,,0:33,,,,,,,,,,3,3,3,3,2.5,2.5,2.5,2,M,M,3,3,3,3,2.5,2.5,2.5,2,M,M,
1833,3108,1833-03108,9/3/2014,2014,246,1A,3,2:18,U,A,A,F,0,M,F,Y,Y,62,124,62,94,103,2:48,,0:30,,,,,,,,,,3,3,3,3,2.5,2.5,2.5,2,1.5,1,1,3,2.5,2.5,2,2,2,1.5,1.5,1,
1833,3109,1833-03109,9/4/2014,2014,247,3B,2,21:30,U,U,Y,U,0,M,M,Y,Y,55,132,62,100,106,22:04,,0:34,,,,,,,,,,3,3,3,3,3,2.5,2.5,2,2,1,3,3,3,3,3,2.5,2,2,1.5,1,
1833,3110,1833-03110,9/4/2014,2014,247,3B,1,21:51,U,U,Y,U,0,M,M,Y,Y,58,129,64,97,107,22:30,,0:39,9/6/2014,1,57.5,,,,,,,3,3,3,3,2.5,2.5,2,2,1.5,1,3,3,3,3,2.5,2.5,2,2,1,1,
1833,3110,1833-03110,9/6/2014,2014,249,1B,3,21:34,F,U,Y,U,0,M,M,N,N,57.5,129,64,97,107,21:55,,0:21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1833,3111,1833-03111,9/4/2014,2014,247,3B,2,22:06,U,U,Y,U,0,F,F,Y,Y,55,123,61,91,100,23:23,,1:17,,,,,,,,,,3,3,3,3,2.5,2.5,2.5,2,1.5,1,,,,,,,,,,,Poop on R wing prevents BL
1833,3112,1833-03112,9/4/2014,2014,247,3B,2,22:26,U,U,Y,U,0,F,F,Y,Y,58.5,132,66,100,108,23:35,,1:09,,,,,,,,,,3,3,3,3,2.5,2.5,2.5,2,1.5,1,3,3,3,3,2.5,2.5,2.5,2,1.5,1,
1833,3113,1833-03113,9/6/2014,2014,249,1B,2,20:58,U,U,Y,U,0,M,M,Y,Y,54.5,129,57,95,103,21:33,,0:35,,,,,,,,,,3,3,3,2.5,2.5,2,2,1.5,1.5,1,3,3,3,2.5,2.5,2,2,1.5,1.5,1,
1833,3114,1833-03114,9/6/2014,2014,249,1B,2,21:18,U,U,,U,0,F,F,Y,Y,59.5,132,61,97,107,21:58,,0:40,,,,,,,,,,3,3,3,3,3,2.5,2.5,2.5,2,1,3,3,3,3,3,2.5,2.5,2.5,2,1,
1833,3115,1833-03115,9/6/2014,2014,249,1B,2,21:34,U,U,Y,U,0,M,M,Y,Y,58.5,127,61,96,108,22:25,,0:51,,,,,,,,,,3,3,3,2.5,2.5,2.5,2,2,1.5,1,3,3,3,2.5,2.5,2.5,2,2,1.5,1,
1833,3116,1833-03116,9/6/2014,2014,249,1B,1,22:00,U,U,Y,U,0,M,M,Y,Y,58,127,61,96,108,22:59,,0:59,,,,,,,,,,3,3,3,3,3,2.5,2.5,2.5,1.5,1,3,3,3,3,2.5,2.5,2.5,2,1.5,1,
1833,3117,1833-03117,9/6/2014,2014,249,1B,2,22:15,U,U,Y,U,0,M,M,Y,Y,56.5,136,62,99,108,23:25,,1:10,,,,,,,,,,3,3,3,3,2.5,2.5,2.5,2,2,1.5,3,3,3,3,2.5,2.5,2.5,2,2,1.5,
1833,3118,1833-03118,9/6/2014,2014,249,1B,4,22:38,U,U,Y,U,0,M,M,Y,Y,53.5,126,62,98,106,,,,,,,,,,,,,3,3,3,3,3,2,2,2,1.5,1,3,3,3,3,3,2,2,1.5,1.5,1,
